The {{c1::Bruins}} are apart of the {{c2::Eastern}} Confrence {{c3::Atlantic}} Division. They are from {{c4::Boston Massachusetts}} and play in the {{c5::TD Garden}},Hockey Canada USA NHL
The {{c1::Sabres}} are apart of the {{c2::Eastern}} Confrence {{c3::Atlantic}} Division. They are from {{c4::Buffalo New York}} and play in the {{c5::KeyBank Center}},Hockey Canada USA NHL
The {{c1::Red Wings}} are apart of the {{c2::Eastern}} Confrence {{c3::Atlantic}} Division. They are from {{c4::Detroit Michigan}} and play in the {{c5::Little Caesars Arena}},Hockey Canada USA NHL
The {{c1::Panthers}} are apart of the {{c2::Eastern}} Confrence {{c3::Atlantic}} Division. They are from {{c4::Sunrise Florida}} and play in the {{c5::BB&T Center}},Hockey Canada USA NHL
The {{c1::Canadiens}} are apart of the {{c2::Eastern}} Confrence {{c3::Atlantic}} Division. They are from {{c4::Montreal Quebec}} and play in the {{c5::Bell Centre}},Hockey Canada USA NHL
The {{c1::Senators}} are apart of the {{c2::Eastern}} Confrence {{c3::Atlantic}} Division. They are from {{c4::Ottawa Ontario}} and play in the {{c5::Canadian Tire Centre}},Hockey Canada USA NHL
The {{c1::Lightning}} are apart of the {{c2::Eastern}} Confrence {{c3::Atlantic}} Division. They are from {{c4::Tampa Florida}} and play in the {{c5::Amalie Arena}},Hockey Canada USA NHL
The {{c1::Maple Leafs}} are apart of the {{c2::Eastern}} Confrence {{c3::Atlantic}} Division. They are from {{c4::Toronto Ontario}} and play in the {{c5::Scotiabank Arena}},Hockey Canada USA NHL
The {{c1::Carolina Hurricanes}} are apart of the {{c2::Eastern}} Confrence {{c3::Metropolitan}} Division. They are from {{c4::Raleigh North Carolina}} and play in the {{c5::PNC Arena}},Hockey Canada USA NHL
The {{c1::Blue Jackets}} are apart of the {{c2::Eastern}} Confrence {{c3::Metropolitan}} Division. They are from {{c4::Columbus Ohio}} and play in the {{c5::Nationwide Arena}},Hockey Canada USA NHL
The {{c1::New Jersey Devils}} are apart of the {{c2::Eastern}} Confrence {{c3::Metropolitan}} Division. They are from {{c4::Newark New Jersey}} and play in the {{c5::Prudential Center}},Hockey Canada USA NHL
The {{c1::New York Islanders}} are apart of the {{c2::Eastern}} Confrence {{c3::Metropolitan}} Division. They are from {{c4::Elmont New York}} and play in the {{c5::UBS Arena}},Hockey Canada USA NHL
The {{c1::Rangers}} are apart of the {{c2::Eastern}} Confrence {{c3::Metropolitan}} Division. They are from {{c4::New York City New York}} and play in the {{c5::Madison Square Garden}},Hockey Canada USA NHL
The {{c1::Flyers}} are apart of the {{c2::Eastern}} Confrence {{c3::Metropolitan}} Division. They are from {{c4::Philadelphia Pennsylvania}} and play in the {{c5::Wells Fargo Center}},Hockey Canada USA NHL
The {{c1::Penguins}} are apart of the {{c2::Eastern}} Confrence {{c3::Metropolitan}} Division. They are from {{c4::Pittsburgh Pennsylvania}} and play in the {{c5::PPG Paints Arena}},Hockey Canada USA NHL
The {{c1::Capitals}} are apart of the {{c2::Eastern}} Confrence {{c3::Metropolitan}} Division. They are from {{c4::Washington D.C.}} and play in the {{c5::Capital One Arena}},Hockey Canada USA NHL
The {{c1::Coyotes}} are apart of the {{c2::Western}} Confrence {{c3::Central}} Division. They are from {{c4::Glendale Arizona}} and play in the {{c5::Gila River Arena}},Hockey Canada USA NHL
The {{c1::Blackhawks}} are apart of the {{c2::Western}} Confrence {{c3::Central}} Division. They are from {{c4::Chicago Illinois}} and play in the {{c5::United Center}},Hockey Canada USA NHL
The {{c1::Avalanche}} are apart of the {{c2::Western}} Confrence {{c3::Central}} Division. They are from {{c4::Denver Colorado}} and play in the {{c5::Ball Arena}},Hockey Canada USA NHL
The {{c1::Stars}} are apart of the {{c2::Western}} Confrence {{c3::Central}} Division. They are from {{c4::Dallas Texas}} and play in the {{c5::American Airlines Center}},Hockey Canada USA NHL
The {{c1::Wild}} are apart of the {{c2::Western}} Confrence {{c3::Central}} Division. They are from {{c4::Saint Paul Minnesota}} and play in the {{c5::Xcel Energy Center}},Hockey Canada USA NHL
The {{c1::Predators}} are apart of the {{c2::Western}} Confrence {{c3::Central}} Division. They are from {{c4::Nashville Tennessee}} and play in the {{c5::Bridgestone Arena}},Hockey Canada USA NHL
The {{c1::Blues}} are apart of the {{c2::Western}} Confrence {{c3::Central}} Division. They are from {{c4::St. Louis Missouri}} and play in the {{c5::Enterprise Center}},Hockey Canada USA NHL
The {{c1::Jets}} are apart of the {{c2::Western}} Confrence {{c3::Central}} Division. They are from {{c4::Winnipeg Manitoba}} and play in the {{c5::Canada Life Centre}},Hockey Canada USA NHL
The {{c1::Ducks}} are apart of the {{c2::Western}} Confrence {{c3::Pacific}} Division. They are from {{c4::Anaheim California}} and play in the {{c5::Honda Center}},Hockey Canada USA NHL
The {{c1::Flames}} are apart of the {{c2::Western}} Confrence {{c3::Pacific}} Division. They are from {{c4::Calgary Alberta}} and play in the {{c5::Scotiabank Saddledome}},Hockey Canada USA NHL
The {{c1::Oilers}} are apart of the {{c2::Western}} Confrence {{c3::Pacific}} Division. They are from {{c4::Edmonton Alberta}} and play in the {{c5::Rogers Place}},Hockey Canada USA NHL
The {{c1::Kings}} are apart of the {{c2::Western}} Confrence {{c3::Pacific}} Division. They are from {{c4::Los Angeles California}} and play in the {{c5::Staples Center}},Hockey Canada USA NHL
The {{c1::Sharks}} are apart of the {{c2::Western}} Confrence {{c3::Pacific}} Division. They are from {{c4::San Jose California}} and play in the {{c5::SAP Center}},Hockey Canada USA NHL
The {{c1::Kraken}} are apart of the {{c2::Western}} Confrence {{c3::Pacific}} Division. They are from {{c4::Seattle Washington}} and play in the {{c5::Climate Pledge Arena}},Hockey Canada USA NHL
The {{c1::Canucks}} are apart of the {{c2::Western}} Confrence {{c3::Pacific}} Division. They are from {{c4::Vancouver British Columbia}} and play in the {{c5::Rogers Arena}},Hockey Canada USA NHL
The {{c1::Vegas Golden Knights}} are apart of the {{c2::Western}} Confrence {{c3::Pacific}} Division. They are from {{c4::Paradise Nevada}} and play in the {{c5::T-Mobile Arena}},Hockey Canada USA NHL
